,Name,Age,Tm,wOBA,wRAA,BA,SLG,OBP,BAbip,SB,HR,BB,1B,2B,3B,SO,Reliability,bat_WAR
53,Marc-Antoine Lebreux,25,QUE,0.38961803304671183,5.030958322355482,0.2935432987668161,0.46486677690582956,0.41394431334080717,0.36219216557225836,13,7,48,52,12,4,64,0.8425,0.5030958322355482
54,Taylor Wright,27,OTT,0.35549021277745835,-4.594032875955955,0.2926563036070182,0.45208773551498327,0.36579979344615277,0.33621372080768774,8,8,31,54,18,0,58,0.8525,-0.4594032875955955
55,Peyton Isaacson,27,WCT,0.3284885043313418,-13.843373332499931,0.29032247579898923,0.3880077069542317,0.35606009947327216,0.3715947250305936,0,4,30,69,15,0,77,0.95,-1.384337333249993
56,Zach Racusin,31,GAT,0.3497064862411921,-4.226253025323514,0.3109166666666667,0.40441666666666665,0.38049999999999995,0.3487282463186077,11,2,20,50,8,1,28,1.0,-0.42262530253235137
57,Tanner Smith,24,TRC,0.3538155494381882,-1.2157923513728321,0.2943264039255462,0.460690209445512,0.3556244224677913,0.3300252373646804,3,5,15,33,9,1,31,0.28500000000000003,-0.12157923513728322
58,Austin Davis,24,OTT,0.35241508738425276,-2.388786826299169,0.29268948136878065,0.4235905471919709,0.36810210415332045,0.34074125438720865,24,4,21,41,10,1,38,0.44499999999999995,-0.2388786826299169
59,Ray Zuberer,27,FLR,0.3821273791459909,2.4385163680580337,0.2866666666666666,0.4884444444444444,0.38522222222222224,0.3240722889845697,28,12,47,55,26,1,67,1.0,0.24385163680580338
60,Steve Brown,37,TRI,0.3652042999179018,-2.543940619779936,0.2874444444444444,0.47455555555555556,0.368,0.33630703319491156,7,11,31,50,16,0,64,1.0,-0.2543940619779936
61,Scotty Dubrule,26,WST,0.36336251047801815,-3.8543331051090353,0.31833333333333336,0.39308333333333334,0.41500000000000004,0.3606451258290114,19,1,55,86,18,0,45,1.0,-0.3854333105109035
62,Kyle Gaedele,34,GAT,0.37991015240923615,1.5546343409104952,0.2923219571677699,0.5095182541462024,0.3701972036265926,0.3386491670981775,3,8,17,30,9,0,41,0.395,0.1554634340910495
63,Tyler Clark-Chiapparelli,26,TRI,0.3499967722494206,-2.1500396434594986,0.2922704426471634,0.4239478783187414,0.36992326331055586,0.3404831666186981,5,3,17,37,9,1,33,0.365,-0.21500396434594987
64,Willie Escala,25,SSX,0.3194928323192886,-17.02606135840655,0.285372109269343,0.3711250095202505,0.34794906465762687,0.3456881172662274,18,3,24,72,9,2,67,0.9675,-1.702606135840655
65,David Glaude,29,QUE,0.38119055539162083,4.154344884214603,0.3040833333333333,0.49816666666666665,0.3809166666666667,0.3334712543554007,20,11,34,58,16,3,53,1.0,0.4154344884214603
66,Nick Gotta,31,WST,0.3600362182729509,-1.4577591117761355,0.2908392531496903,0.4268386109331624,0.37708301462737553,0.351543912505803,15,3,23,37,11,2,39,0.49,-0.14577591117761354
67,A.J. Wright,27,OTT,0.3788837090014166,1.5712395887328239,0.28144444444444444,0.46911111111111115,0.3964444444444445,0.345802747976661,7,13,54,60,22,1,93,1.0,0.1571239588732824
68,Brian Fuentes,25,FLR,0.3672958435207824,-1.8436620124743528,0.284,0.446,0.389,0.350597609561753,9,8,46,58,16,3,77,1.0,-0.18436620124743527
69,Zade Richardson,24,FLR,0.3741381329181979,0.8396924689688728,0.28873081607231826,0.4851385728521602,0.38041675599686814,0.351389751502353,0,11,27,44,9,1,63,0.62,0.08396924689688728
